Movie Title,Movie Rating,Number of Votes M,Release Date,Duration (Minutes),Category
The Shawshank Redemption,9.3,2.8M,1994,142,R
The Godfather,9.2,2M,1972,175,R
The Dark Knight,9.0,2.8M,2008,152,PG-13
The Godfather Part II,9.0,1.3M,1974,202,R
12 Angry Men,9.0,0.843M,1957,96,Approved
Schindler's List,9.0,1.4M,1993,195,R
The Lord of the Rings: The Return of the King,9.0,1.9M,2003,201,PG-13
Pulp Fiction,8.9,2.2M,1994,154,R
The Lord of the Rings: The Fellowship of the Ring,8.8,2M,2001,178,PG-13
"Il buono, il brutto, il cattivo",8.8,0.796M,1966,161,Approved
Forrest Gump,8.8,2.2M,1994,142,PG-13
Fight Club,8.8,2.3M,1999,139,R
The Lord of the Rings: The Two Towers,8.8,1.7M,2002,179,PG-13
Inception,8.8,2.5M,2010,148,PG-13
Star Wars: Episode V - The Empire Strikes Back,8.7,1.4M,1980,124,PG
The Matrix,8.7,2M,1999,136,R
Goodfellas,8.7,1.2M,1990,145,R
One Flew Over the Cuckoo's Nest,8.7,1.1M,1975,133,R
Se7en,8.6,1.8M,1995,127,R
It's a Wonderful Life,8.6,0.484M,1946,130,PG
Shichinin no samurai,8.6,0.361M,1954,207,Not Rated
Interstellar,8.7,2M,2014,169,PG-13
The Silence of the Lambs,8.6,1.5M,1991,118,R
Saving Private Ryan,8.6,1.5M,1998,169,R
Cidade de Deus,8.6,0.788M,2002,130,R
La vita è bella,8.6,0.729M,1997,116,PG-13
The Green Mile,8.6,1.4M,1999,189,R
Spider-Man: Across the Spider-Verse,8.7,0.307M,2023,140,PG
Star Wars,8.6,1.4M,1977,121,PG
Terminator 2: Judgment Day,8.6,1.2M,1991,137,R
Back to the Future,8.5,1.3M,1985,116,PG
Sen to Chihiro no kamikakushi,8.6,0.822M,2001,125,PG
The Pianist,8.5,0.889M,2002,150,R
Psycho,8.5,0.706M,1960,109,R
Gisaengchung,8.5,0.908M,2019,132,R
Gladiator,8.5,1.6M,2000,155,R
The Lion King,8.5,1.1M,1994,88,G
Léon,8.5,1.2M,1994,110,R
American History X,8.5,1.2M,1998,119,R
The Departed,8.5,1.4M,2006,151,R
Whiplash,8.5,0.95M,2014,106,R
The Prestige,8.5,1.4M,2006,130,PG-13
Hotaru no haka,8.5,0.3M,1988,89,Not Rated
The Usual Suspects,8.5,1.1M,1995,106,R
Seppuku,8.6,0.065M,1962,133,Not Rated
Casablanca,8.5,0.596M,1942,102,PG
Intouchables,8.5,0.908M,2011,112,R
Modern Times,8.5,0.255M,1936,87,G
Nuovo Cinema Paradiso,8.5,0.277M,1988,155,PG
C'era una volta il West,8.5,0.344M,1968,166,PG-13
Rear Window,8.5,0.513M,1954,112,PG
Alien,8.5,0.93M,1979,117,R
City Lights,8.5,0.193M,1931,87,G
Apocalypse Now,8.4,0.698M,1979,147,R
Django Unchained,8.5,1.7M,2012,165,R
Memento,8.4,1.3M,2000,113,R
Raiders of the Lost Ark,8.4,1M,1981,115,PG
WALL·E,8.4,1.2M,2008,98,G
Das Leben der Anderen,8.4,0.404M,2006,137,R
Sunset Blvd.,8.4,0.232M,1950,110,Passed
Paths of Glory,8.4,0.208M,1957,88,Approved
Avengers: Infinity War,8.4,1.2M,2018,149,PG-13
Oppenheimer,8.4,0.535M,2023,180,R
The Shining,8.4,1.1M,1980,146,R
Spider-Man: Into the Spider-Verse,8.4,0.644M,2018,117,PG
Witness for the Prosecution,8.4,0.134M,1957,116,Approved
The Great Dictator,8.4,0.234M,1940,125,G
Aliens,8.4,0.75M,1986,137,R
Inglourious Basterds,8.4,1.5M,2009,153,R
